0	uniprot	bnum
gene2919	Q46789	b2853
gene292	P77183	b0283
gene2920	Q46790	b2854
gene2921	Q46791	b2856
gene2922	Q46793	b2858
gene2923	Q46795	b2859
gene2924	P0CF56	b2860
gene2925	P0CF43	b2861
gene2926	Q46797	b2863
gene2928	Q46798	b2865
gene2929	Q46799	b2866
gene293	P77489	b0284
gene2930	Q46800	b2867
gene2931	Q46801	b2868
gene2932	Q46802	b2869
gene2933	Q46803	b2870
gene2934	P66899	b2871
gene2935	P65807	b2872
gene2936	Q46806	b2873
gene2937	Q46807	b2874
gene2938	Q46808	b2875
gene2939	Q46809	b2876
gene294	P77324	b0285
gene2940	Q46810	b2877
gene2941	Q46811	b2878
gene2942	Q46812	b2879
gene2943	P64557	b2880
gene2944	Q46814	b2881
gene2945	P67444	b2882
gene2946	P76641	b2883
gene2947	Q46817	b4464
gene2948	Q46819	b2886
gene2949	Q46820	b2887
gene295	P77165	b0286
gene2950	Q46821	b2888
gene2951	C1P614	b4684
gene2952	Q46822	b2889
gene2953	P0A8N3	b2890
gene2954	P07012	b2891
gene2955	P21893	b2892
gene2956	P0AEG6	b2893
gene2957	P0A8P8	b2894
gene2958	P0ABY4	b2895
gene2959	Q46824	b2896
gene296	P0AAA1	b0287
gene2960	P64559	b2897
gene2961	P0ADE8	b2898
gene2962	P67153	b2899
gene2963	P67603	b2900
gene2964	Q46829	b2901
gene2965	P52037	b2902
gene2966	P33195	b2903
gene2967	P0A6T9	b2904
gene2968	P27248	b2905
gene2969	P25535	b2906
gene297	P0AAL9	b0288
gene2970	P25534	b2907
gene2971	P15034	b2908
gene2972	P0A8C4	b2909
gene2973	P0ADS2	b2910
gene2975	P0AC28	b2912
gene2977	C1P615	b4665
gene2978	P0A9T0	b2913
gene2979	P0A7Z0	b2914
gene298	P77263	b0289
gene2980	P64562	b2915
gene2981	P0A8S1	b2916
gene2982	P27253	b2917
gene2983	P27254	b2918
gene2984	P52045	b2919
gene2985	P52043	b2920
gene2986	P52044	b2921
gene2987	P0ADS6	b2922
gene2988	P11667	b2923
gene2989	P0C0S1	b2924
gene299	P77694	b0290
gene2990	P0AB71	b2925
gene2991	P0A799	b2926
gene2992	P0A9B6	b2927
gene2993	P11664	b2928
gene2994	P11663	b2929
gene2995	P21437	b2930
gene2996	P52048	b4465
gene2997	P69826	b2933
gene2998	P69824	b2934
gene2999	P27302	b2935
gene3	P00934	b0004
gene30	P04036	b0031
gene300	P77802	b0291
gene3000	P25894	b2936
gene3001	P60651	b2937
gene3002	P21170	b2938
gene3003	P64567	b2939
gene3004	P64570	b2940
gene3005	P0A817	b2942
gene3006	P0AEP1	b2943
gene3007	P39902	b2944
gene3008	P25736	b2945
gene3009	P0AGL7	b2946
gene301	P77188	b0292
gene3010	P04425	b2947
gene3011	P0A8W5	b2948
gene3012	P0A8I1	b2949
gene3013	P52052	b2950
gene3014	P67080	b2951
gene3015	P64564	b2952
gene3016	P52060	b2953
gene3017	P52061	b2954
gene3018	P52062	b2955
gene3019	P46142	b2956
gene302	P0AAA3	b0293
gene3020	P00805	b2957
gene3021	P0ADS9	b2958
gene3022	P38521	b2959
gene3023	P0A8I5	b2960
gene3024	P17802	b2961
gene3025	P0A8P3	b2962
gene3026	P0C066	b2963
gene3027	P0AFF4	b2964
gene3028	P21169	b2965
gene3029	Q46831	b2966
gene303	P71301	b0294
gene3031	Q46832	b2968
gene3032	Q46833	b2969
gene3033	Q46834	b2970
gene3034	Q46835	b2971
gene3035	Q46836	b2972
gene3036	P0CK95	b4466
gene3037	Q46839	b2975
gene3038	P37330	b2976
gene3039	P0AEQ1	b2977
gene304	P56257	b0295
gene3040	P52074	b4467
gene3041	P52073	b4468
gene3042	P0AEP9	b2979
gene3043	P0ACL5	b2980
gene3044	Q46840	b2981
gene3045	P0CE56	b2982
gene3046	Q46841	b2983
gene3047	P64572	b2984
gene3048	Q46843	b2985
gene3049	Q46844	b2986
gene305	Q2EEQ2	b4506
gene3050	P43676	b2987
gene3051	P0AES0	b2988
gene3052	Q46845	b2989
gene3053	P0AAM7	b2990
gene3054	P0A703	b2991
gene3055	P0AAN1	b2992
gene3056	P37182	b2993
gene3057	P0ACE0	b2994
gene3058	P37180	b2995
gene3059	P0AAJ8	b2996
gene306	P0A7N1	b0296
gene3060	P69741	b2997
gene3061	P64574	b2998
gene3062	Q7DFU6	b4658
gene3063	Q46851	b3001
gene3064	P67244	b3002
gene3065	P0AG84	b3003
gene3066	P0ABV2	b3005
gene3067	P0ABU7	b3006
gene3068	P06721	b3008
gene3069	P0AA60	b3009
gene307	C1P5Z8	b4671
gene3070	Q46855	b3010
gene3071	Q46856	b3011
gene3072	Q46857	b3012
gene3073	Q46858	b3013
gene3074	P65298	b3014
gene3075	Q46861	b4469
gene3076	P26648	b3017
gene3077	P26647	b3018
gene3078	P0AFI2	b3019
gene3079	Q46863	b3020
gene308		b4630
gene3080	Q46864	b3021
gene3081	Q46865	b3022
gene3082	Q46866	b3023
gene3083	P0ADU5	b3024
gene3084	P52076	b3025
gene3085	P40719	b3026
gene3086	Q46867	b3027
gene3087	P0AEY5	b3028
gene3088	P0ADU2	b3029
gene3089	P20083	b3030
gene309	P36943	b0297
gene3090	P0A8Z7	b3031
gene3091	P0AEW4	b3032
gene3092	P0ADU7	b3033
gene3093	Q93K97	b3034
gene3094	P02930	b3035
gene3095	P0ADT2	b3037
gene3096	P0ADT5	b3038
gene3097	P24197	b3039
gene3098	P0A8H3	b3040
gene3099	P0A7J0	b3041
gene31	P0A6F1	b0032
gene310	P0CF66	b0298
gene3100	Q46868	b3042
gene3101	P39834	b3043
gene3102	P76655	b3046
gene3103	P0CF44	b3044
gene3104	P0CF57	b3045
gene3105	P77616	b3047
gene3106	P76656	b3048
gene3107	P26649	b3049
gene3108	P76657	b3050
gene3109	P77306	b3051
gene311	P0CF79	b0299
gene3111	C1P616	b4664
gene3113	C1P617	b4666
gene3114	P76658	b3052
gene3115	P30870	b3053
gene3116	P30871	b3054
gene3117	P0ADT8	b3055
gene3118	P06961	b3056
gene3119	P60932	b3057
gene312	P77601	b0300
gene3120	P0AC16	b3058
gene3121	P60782	b3059
gene3122	P45463	b3060
gene3123	P05847	b3061
gene3124	P0AC35	b3062
gene3125	P39414	b3063
gene3126	P05852	b3064
gene3127	P68679	b3065
gene3128	P0ABS5	b3066
gene3129	P00579	b3067
gene313		b4631
gene3130	P0A9H1	b3068
gene3132	Q46871	b3070
gene3133	P64588	b3071
gene3134	P50466	b3072
gene3135	P42588	b3073
gene3136	P42589	b3074
gene3137	P06846	b3075
gene3138	P06864	b3076
gene3139	P0AC73	b3077
gene314	P75685	b0301
gene3140	P42590	b3078
gene3141	P42591	b3079
gene3142	P42592	b3080
gene3143	P42593	b3081
gene3144	P67701	b3082
gene3145	P64578	b3083
gene3146	P42596	b3084
gene3147	P42597	b3085
gene3148	P42598	b3086
gene3149	P42599	b3087
gene315	P75687	b0303
gene3150	P42601	b3088
gene3151	P0AGE4	b3089
gene3152	P42603	b3090
gene3153	P42604	b3091
gene3154	P0A8G3	b3092
gene3155	P0AA78	b3093
gene3156	P0ACL2	b3094
gene3157	P0AA63	b3095
gene3158	P42615	b3096
gene3159	P42616	b3097
gene316	P77212	b0304
gene3160	P64581	b3098
gene3161	P64585	b3099
gene3162	Q47710	b3100
gene3163	P42619	b3101
gene3164	P42620	b3102
gene3165	P64590	b3103
gene3166	P64592	b3104
gene3167	P67660	b3105
gene3168	P42624	b3106
gene3169	P42625	b3107
gene317	P77379	b0305
gene3170	P42626	b4470
gene3171	P42628	b3110
gene3172	P42630	b4471
gene3173	P0AGL2	b3113
gene3174	P42632	b3114
gene3175	P11868	b3115
gene3176	P0AAD8	b3116
gene3177	P0AGF6	b3117
gene3178	P0ACQ7	b3118
gene3179	P11866	b3119
gene318	P77252	b0306
gene3180	P11865	b3120
gene3181	P11864	b3121
gene3183	P23524	b3124
gene3184	P0ABQ2	b3125
gene3185	P23522	b3126
gene3186	P0AA80	b3127
gene3187	P39829	b3128
gene3188	P15373	b3129
gene3189	P64594	b3130
gene319	P77536	b0307
gene3190	P0ACK2	b3131
gene3191	P0C8K0	b3132
gene3192	P42904	b3133
gene3193	P42905	b3134
gene3194	P42906	b3135
gene3195	P42907	b3136
gene3196	P0AB74	b3137
gene3197	P42909	b3138
gene3198	P42910	b3139
gene3199	P42911	b3140
gene32	P00968	b0033
gene320	P77433	b0308
gene3200	P42912	b3141
gene3201	P42913	b3142
gene3202	P42914	b3143
gene3203	P42915	b3144
gene3204	P43319	b3145
gene3205	P67087	b3146
gene3206	P45464	b3147
gene3207	P45465	b3148
gene3208	P66817	b3149
gene3209	P64596	b3150
gene321	P77180	b0310
gene3210	P45468	b3151
gene3211	P45469	b3152
gene3212	P45470	b3153
gene3213	P67762	b3154
gene3214	P45472	b3155
gene3215	P63417	b3156
gene3216	P64599	b3157
gene3217	P45527	b3158
gene3218	P45475	b3159
gene3219	P0ADV5	b3160
gene322	P17444	b0311
gene3220	P0AAD2	b3161
gene3221	P0A9P6	b3162
gene3222	C1P618	b4685
gene3223	P0AFB1	b3163
gene3224	P05055	b3164
gene3226	P0ADZ4	b3165
gene3227	P60340	b3166
gene3228	P0A7G2	b3167
gene3229	P0A705	b3168
gene323	P17445	b0312
gene3230	P0AFF6	b3169
gene3231	P0A8A8	b3170
gene3233	P0A6E4	b3172
gene3234	P42640	b3173
gene3236	P0AG99	b3175
gene3237	P31120	b3176
gene3238	P0AC13	b3177
gene3239	P0AAI3	b3178
gene324	P17446	b0313
gene3240	P0C0R7	b3179
gene3241	P0AGK4	b3180
gene3242	P0A6W5	b3181
gene3243	P24228	b3182
gene3244	P42641	b3183
gene3245	P0AA73	b3184
gene3246	P0A7L8	b3185
gene3247	P0AG48	b3186
gene3248	P0AD57	b3187
gene3249	P0ACH1	b3188
gene325	P0ABC9	b0314
gene3250	P0A749	b3189
gene3251	P0A9W6	b3190
gene3252	P64602	b3191
gene3253	P0ADV7	b3192
gene3254	P64604	b3193
gene3255	P64606	b3194
gene3256	P63386	b3195
gene3257	P45394	b3196
gene3258	P45395	b3197
gene3259	P0ABZ4	b3198
gene326	P21514	b0315
gene3260	P0ADV9	b3199
gene3261	P0ADV1	b3200
gene3262	P0A9V1	b3201
gene3263	P24255	b3202
gene3264	P0AFX0	b3203
gene3265	P69829	b3204
gene3266	P0A894	b3205
gene3267	P0A9N0	b3206
gene3268	P64610	b3207
gene3269	P46022	b3208
gene327	P77700	b0316
gene3270	P0ABU5	b3209
gene3272	P0AEC3	b3210
gene3273	P0ADW6	b3211
gene3274	P09831	b3212
gene3275	P09832	b3213
gene3276	P28721	b3214
gene3277	P28722	b3215
gene3278	P45420	b3216
gene3279	P45421	b4569
gene328	P77219	b0317
gene3280	P0CE57	b3218
gene3281	P45422	b3219
gene3282	P45423	b3220
gene3283	P45424	b3221
gene3284	P45425	b3222
gene3285	P0A761	b3223
gene3286	P41036	b3224
gene3287	P0A6L4	b3225
gene3288	P0A8W0	b3226
gene3289	P45428	b3227
gene329	P77736	b0318
gene3290	P0AFZ3	b3228
gene3291	P0ACA3	b3229
gene3292	P0A7X3	b3230
gene3293	P0AA10	b3231
gene3294	P64612	b3232
gene3295	P0ADW3	b3233
gene3296	P39099	b3234
gene3297	P0AEE3	b3235
gene3298	P61889	b3236
gene3299	P0A6D0	b3237
gene33	P0AE58	b0034
gene330	P77297	b0319
gene3300	P64614	b3238
gene3301	P64616	b3239
gene3302	P46481	b3240
gene3303	P46482	b3241
gene3304	P46478	b3242
gene3305	P67662	b3243
gene3306	P0AGG8	b3244
gene3307	P46474	b4472
gene3308	P0A9J0	b3247
gene3309	P25536	b3248
gene331	P77187	b0320
gene3310	P0ABH4	b3249
gene3311	P16926	b3250
gene3312	P0A9X4	b3251
gene3313	P13518	b3252
gene3314	P26646	b3253
gene3315		b4697
gene3316		b4646
gene3317	P0ABD8	b3255
gene3318	P24182	b3256
gene3319	P45566	b3257
gene332	P77221	b0321
gene3320	P16256	b3258
gene3321	P0A8T1	b3259
gene3322	P0ABT5	b3260
gene3323	P0A6R3	b3261
gene3324	P28638	b3262
gene3325	P64619	b3263
gene3326	P0ACT2	b3264
gene3327	P24180	b3265
gene3328	P24181	b3266
gene3329	P64622	b3267
gene333	P77624	b0323
gene3330	P45766	b3268
gene3331	P45767	b3269
gene3332	P45768	b3270
gene3333	P45769	b3271
gene334	P77554	b0324
gene3341	P0A9W9	b3279
gene3342	P45795	b3280
gene3343	P15770	b3281
gene3344	P45748	b3282
gene3345	P45771	b3283
gene3346	P0A828	b3284
gene3347	P30852	b4473
gene3348	P0A6K3	b3287
gene3349	P23882	b3288
gene335	P75691	b0325
gene3350	P36929	b3289
gene3351	P0AGI8	b3290
gene3352	P0A742	b3291
gene3353	P36675	b4550
gene3354	P0ACS5	b3292
gene3355	P36677	b3293
gene3356	P0AG44	b3294
gene3357	P0A7Z4	b3295
gene3358	P0A7V8	b3296
gene3359	P0A7R9	b3297
gene336	P77393	b0326
gene3360	P0A7S9	b3298
gene3361	P0A7Q6	b3299
gene3362	P0AGA2	b3300
gene3363	P02413	b3301
gene3364	P0AG51	b3302
gene3365	P0A7W1	b3303
gene3366	P0C018	b3304
gene3367	P0AG55	b3305
gene3368	P0A7W7	b3306
gene3369	P0AG59	b3307
gene337	P75692	b0327
gene3370	P62399	b3308
gene3371	P60624	b3309
gene3372	P0ADY3	b3310
gene3373	P0AG63	b3311
gene3374	P0A7M6	b3312
gene3375	P0ADY7	b3313
gene3376	P0A7V3	b3314
gene3377	P61175	b3315
gene3378	P0A7U3	b3316
gene3379	P60422	b3317
gene338	P75693	b0328
gene3380	P0ADZ0	b3318
gene3381	P60723	b3319
gene3382	P60438	b3320
gene3383	P0A7R5	b3321
gene3384	P03825	b3322
gene3385	P45756	b3323
gene3386	P45757	b3324
gene3387	P45758	b3325
gene3388	P45759	b3326
gene3389	P41441	b3327
gene339	P75694	b0329
gene3390	P41442	b3328
gene3391	P41443	b3329
gene3392	P45760	b3330
gene3393	P45761	b3331
gene3394	P45762	b3332
gene3395	P45763	b3333
gene3396	P36678	b3334
gene3397	P25960	b3335
gene3398	P0ABD3	b3336
gene3399	P0AE56	b3337
gene34	P39206	b0035
gene340	P77743	b0330
gene3400	P13656	b3338
gene3401	P0CE47	b3339
gene3402	P0A6M8	b3340
gene3403	P02359	b3341
gene3404	P0A7S3	b3342
gene3405	P45530	b3343
gene3406	P45531	b3344
gene3407	P45532	b3345
gene3408	P64624	b3346
gene3409	P45523	b3347
gene341	P77541	b0331
gene3410	P0A8R4	b3348
gene3411	P0A9K9	b3349
gene3412	P0ADW8	b4551
gene3413	P45522	b3350
gene3414	P0A756	b3351
gene3415	P63389	b3352
gene3416	P45524	b3353
gene3417	P67624	b3354
gene3418	P0AEX5	b3355
gene3419	P0ADX1	b3356
gene342	P31660	b0333
gene3420	P0ACJ8	b3357
gene3421	P45537	b3358
gene3422	P18335	b3359
gene3423	P00903	b3360
gene3424	P20605	b3361
gene3425	P0ADX5	b3362
gene3426	P0AFL3	b3363
gene3427	P60778	b3364
gene3428	P08201	b3365
gene3429	P0A9I8	b3366
gene343	P77243	b0334
gene3430	P0AC26	b3367
gene3431	P0AEA8	b3368
gene3432	P64627	b3369
gene3433	P45539	b3370
gene3434	P0AC00	b3371
gene3435	P45541	b4474
gene3436	P45543	b3374
gene3437	P45544	b3375
gene3438	P45545	b3376
gene3439	P45546	b3377
gene344	P77495	b0335
gene3440	P64631	b3378
gene3441	P45548	b3379
gene3442	P45549	b3380
gene3443	P45550	b3381
gene3444	P45551	b3382
gene3445	P45552	b3383
gene3446	P00954	b3384
gene3447	P32662	b3385
gene3448	P0AG07	b3386
gene3449	P0AEE8	b3387
gene345	P0AA82	b0336
gene3450	P11557	b3388
gene3451	P07639	b3389
gene3452	P0A6D7	b3390
gene3453	P34749	b3391
gene3454	P45750	b3392
gene3455	P45751	b3393
gene3456	P64634	b3394
gene3457	P45753	b3395
gene3458	P02918	b3396
gene3459	P45799	b3397
gene346	P25524	b0337
gene3460	P45800	b3398
gene3461	P64636	b3399
gene3462	P0ACG8	b3400
gene3463	P0A6Y5	b3401
gene3464	P45804	b3402
gene3465	P22259	b3403
gene3466	P0AEJ4	b3404
gene3467	P0AA16	b3405
gene3468	P30128	b3406
gene3469	P46837	b3407
gene347	P27111	b0338
gene3470	P0AEL3	b3408
gene3471	P33650	b3409
gene3472	P64638	b3410
gene3473	P31667	b3411
gene3474	P13001	b3412
gene3475	P46846	b3413
gene3476	P63020	b3414
gene3477	P39835	b3415
gene3478	P15977	b3416
gene3479	P00490	b3417
gene348	P0ABE9	b0339
gene3480	P06993	b3418
gene3481	P46849	b4475
gene3482	P46850	b3421
gene3483	P38035	b3422
gene3484	P0ACL0	b3423
gene3485	P09391	b3424
gene3486	P0A6V5	b3425
gene3487	P13035	b3426
gene3488	P76692	b3427
gene3489	P0AC86	b3428
gene349	P00816	b0340
gene3490	P0A6U8	b3429
gene3491	P0A6V1	b3430
gene3492	P15067	b3431
gene3493	P07762	b3432
gene3494	P0A9Q9	b3433
gene3495	P67143	b3434
gene3496	P0AC96	b4476
gene3497	P46859	b3437
gene3498	P0ACP5	b3438
gene3499	P46852	b3439
gene35	P31551	b0036
gene350	P17583	b0341
gene3500	P46853	b3440
gene3502	P46854	b3441
gene3503	P46855	b3442
gene3504	P46856	b3443
gene3505	P0CF11	b3444
gene3506	P0CF28	b3445
gene3507	P46857	b3446
gene3508	P18956	b3447
gene3509	P0ADX7	b3448
gene351	P07464	b0342
gene3510	P10908	b3449
gene3511	P10907	b3450
gene3512	P10906	b3451
gene3513	P10905	b3452
gene3514	P0AG80	b3453
gene3515	P22731	b3454
gene3516	P0A9S7	b3455
gene3517	P22729	b3456
gene3518	P0AEX7	b3457
gene3519	P04816	b3458
gene352	P02920	b0343
gene3520	P37613	b3459
gene3521	P0AD96	b3460
gene3522	P0AGB3	b3461
gene3523	P0AC30	b3462
gene3524	P0A9R7	b3463
gene3525	P10121	b3464
gene3526	P0ADX9	b3465
gene3527	P37614	b3466
gene3528	P37615	b3467
gene3529	P0ADI9	b3468
gene353	P00722	b0344
gene3530	P37617	b3469
gene3531	P0A890	b3470
gene3532	P37619	b3471
gene3533	P0AEE1	b3472
gene3534	P37621	b3473
gene3535	P0AGM0	b3474
gene3536	P37623	b3475
gene3537	P33590	b3476
gene3538	P33591	b3477
gene3539	P0AFA9	b3478
gene354	P03023	b0345
gene3540	P33593	b3479
gene3541	P33594	b3480
gene3542	P0A6Z6	b3481
gene3543	P16917	b3482
gene3544	P28911	b3483
gene3545		b4552
gene3546	P28912	b3484
gene3547	P0AGH1	b3485
gene3548	P37624	b3486
gene3549	P37626	b3487
gene355	P77569	b0346
gene3550	P37627	b3488
gene3551	P37629	b4660
gene3552	P37630	b3491
gene3553	P37631	b3492
gene3554	P0AFJ7	b3493
gene3555	P0A8S5	b3494
gene3556	P0AED0	b3495
gene3557	P36837	b3496
gene3558	P68567	b3497
gene3559	P27298	b3498
gene356	P77397	b0347
gene3560	P37634	b3499
gene3561	P06715	b3500
gene3562	A5A624	b4613
gene3565	P37309	b3501
gene3566	P0AB93	b3502
gene3567	P0AB96	b3503
gene3568	P37635	b3504
gene3569	P0CE58	b3505
gene357	P0ABR9	b0348
gene3570	P37194	b3506
gene3571	P37195	b3507
gene3572	P0AFV2	b3508
gene3573	P0AET2	b3509
gene3574	P0AES9	b3510
gene3575	P0AET5	b3511
gene3577	P63204	b3512
gene3578	P37636	b3513
gene3579	P37637	b3514
gene358	P77044	b0349
gene3580	P63201	b3515
gene3582	P37639	b3516
gene3583	P69908	b3517
gene3584	P37197	b3518
gene3585	P62601	b3519
gene3586	P37640	b3520
gene3587	P37641	b3521
gene3588	P37642	b3522
gene3589	P37643	b3523
gene359	P77608	b0350
gene3590	P37645	b3524
gene3591	P37646	b3525
gene3592	P37647	b3526
gene3593	P37648	b3527
gene3594	P0A830	b3528
gene3595	P37649	b3529
gene3596	P37650	b3530
gene3597	P37651	b3531
gene3598	P37652	b3532
gene3599	P37653	b3533
gene36	P31552	b0037
gene360	P77580	b0351
gene3600	P37655	b3534
gene3601	P0ADJ3	b3535
gene3602	P37657	b3536
gene3603	P0ADJ5	b3537
gene3604	P37659	b3538
gene3605	Q6BF25	b4453
gene3607	P37660	b3539
gene3608	P37313	b3540
gene3609	P0AAG0	b3541
gene361	P51020	b0352
gene3610	P0AEG1	b3542
gene3611	P0AEF8	b3543
gene3612	P23847	b3544
gene3614	P37661	b3546
gene3615	P37662	b3547
gene3616	P37663	b3548
gene3617	P05100	b3549
gene3618	P37664	b3550
gene3619	P20099	b3551
gene362	P77589	b0353
gene3620	P37665	b3552
gene3621	P37666	b3553
gene3622	P0ADK0	b3554
gene3623	P0A9V5	b3555
gene3624	P0A9X9	b3556
gene3625		b4647
gene3626	P37305	b4455
gene3627	P19768	b3557
gene3628	P19769	b3558
gene363	P51024	b0354
gene3630	P00961	b3559
gene3631	P00960	b3560
gene3632	Q2M7M3	b4553
gene3633	P37669	b3561
gene3634	P0ADJ8	b3562
gene3635	P11286	b3563
gene3636	P09099	b3564
gene3637	P00944	b3565
gene3638	P37387	b3566
gene3639	P37388	b3567
gene364	P51025	b0355
gene3640	P0AGI4	b3568
gene3641	P0ACI3	b3569
gene3642	P27297	b3570
gene3643	P25718	b3571
gene3644	P09053	b3572
gene3645	P56256	b3573
gene3646	P37671	b3574
gene3647	P37672	b3575
gene3648	P37673	b3576
gene3649	P37674	b3577
gene365	P25437	b0356
gene3650	P37675	b3578
gene3651	P37676	b3579
gene3652	P37677	b3580
gene3653	P37678	b3581
gene3654	P37679	b3582
gene3655	P37680	b3583
gene3656		b4648
gene3657		b4649
gene3658	P37681	b3584
gene3659	P37682	b3585
gene366	P0AAP3	b0357
gene3660	P37683	b3586
gene3661	P0ADK4	b3587
gene3662	P37685	b3588
gene3663	P37686	b3589
gene3664	P14081	b3590
gene3665	P0A821	b3591
gene3666	P0ACA1	b3592
gene3667	P16916	b3593
gene3668	P0ADK6	b3594
gene3669	P32109	b3595
gene367	Q47534	b0358
gene3670	P32106	b3596
gene3671		b4650
gene3672		b4651
gene3673	A5A625	b4615
gene3674		b4652
gene3675	P0AFV0	b3597
gene3676	P32108	b3598
gene3677	P00550	b3599
gene3678	P09424	b3600
gene3679	P0AF10	b3601
gene368	P75697	b4579
gene3680	Q2M7R5	b4554
gene3681	P0ADK8	b3602
gene3682	P33231	b3603
gene3683	P0ACL7	b3604
gene3684	P33232	b3605
gene3685	P0AGJ7	b3606
gene3686	P0A9D4	b3607
gene3687	P0A6S7	b3608
gene3688	P0AG86	b3609
gene3689	P0AC62	b3610
gene369	P0CF40	b0360
gene3690	P0AG27	b3611
gene3691	P37689	b3612
gene3692	P37690	b3613
gene3693	P37691	b3614
gene3694	P11290	b3615
gene3695	P07913	b3616
gene3696	P0AB77	b3617
gene3697	P25666	b3618
gene3698	P67910	b3619
gene3699	P37692	b3620
gene37	P31572	b0038
gene370	P0CF53	b0361
gene3700	P24173	b3621
gene3701	P27243	b3622
gene3702	P27242	b3623
gene3703	P27241	b3624
gene3704	P27240	b3625
gene3705	P27129	b3626
gene3706	P27128	b3627
gene3707	P27127	b3628
gene3708	P27126	b3629
gene3709	P25741	b3630
gene371	Q47536	b0363
gene3710	P25740	b3631
gene3711	P25742	b3632
gene3712	P0AC75	b3633
gene3713	P0A6I6	b3634
gene3714	P05523	b3635
gene3715	P0A7N9	b3636
gene3716	P0A7M2	b3637
gene3717	P25531	b3638
gene3718	P0ABQ0	b3639
gene3719	P06968	b3640
gene372	P71311	b0364
gene3720	P0C093	b3641
gene3721	P0A7E3	b3642
gene3722	P0CG19	b3643
gene3723	P23839	b3644
gene3724	P23840	b3645
gene3725	P0AGM2	b3646
gene3726	P25772	b3647
gene3727	P60546	b3648
gene3728	P0A800	b3649
gene3729	P0AG24	b3650
gene373	Q47537	b0365
gene3730	P0AGJ2	b3651
gene3731	P24230	b3652
gene3732	P0AER8	b3653
gene3733	P0AGM9	b3654
gene3734	P31433	b3655
gene3735	P31434	b3656
gene3736	P31435	b3657
gene3738		b4653
gene3739	P31436	b3659
gene374	Q47538	b0366
gene3740	P31437	b3660
gene3741	P04846	b3661
gene3742	Q2M7X4	b4555
gene3743	P0ADL1	b3662
gene3744	P0ADL3	b3663
gene3745	P31440	b3664
gene3746	P31441	b3665
gene3747	P0AGC0	b3666
gene3748	P09836	b3667
gene3749	P09835	b3668
gene375	Q47539	b0367
gene3750	P0AGA6	b3669
gene3751	P0ADF8	b3670
gene3752	P08142	b3671
gene3753	P03061	b3672
gene3755	A5A627	b4618
gene3756	P31442	b3673
gene3757	P31443	b3674
gene3758	P0ADL6	b3675
gene3759	P0ADM0	b3676
gene376	P37610	b0368
gene3760	P31446	b3677
gene3761	P31447	b3678
gene3762	P31448	b3679
gene3763	P31449	b3680
gene3764	P31450	b4556
gene3765	P31452	b3683
gene3766	P31453	b3684
gene3767	P60872	b3685
gene3768	P0C058	b3686
gene3769	P0C054	b3687
gene377	P0ACB2	b0369
gene3770	P0ADM4	b3688
gene3771	P31455	b3689
gene3772	P31456	b3690
gene3773	P0AA76	b3691
gene3774	Q6BF17	b4478
gene3775	Q6BF16	b4477
gene3776	P31459	b3693
gene3777	P31460	b4479
gene3778	P0ADM6	b3696
gene3779	P0A8Y5	b3697
gene378	P77199	b4580
gene3780	P09996	b3698
gene3781	P0AES6	b3699
gene3782	P0A7H0	b3700
gene3783	P0A988	b3701
gene3784	P03004	b3702
gene3785	P0A7P5	b3703
gene3786	P0A7Y8	b3704
gene3787	P0A8C8	b4557
gene3788	P25714	b3705
gene3789	P25522	b3706
gene379	P0CF80	b0372
gene3790	P0AD89	b3707
gene3791	P0A853	b3708
gene3792	P23173	b3709
gene3793	P31462	b3710
gene3794	P31463	b3711
gene3795	P0ADM8	b3712
gene3796	P0AGE6	b3713
gene3797	P31466	b3714
gene3798	P31467	b3715
gene3799	P31468	b3716
gene38	P60584	b0039
gene380	P0CF67	b0373
gene3800	P31469	b3717
gene3801	P31470	b3718
gene3802	P31471	b3719
gene3803	P26218	b3720
gene3804	P11988	b3721
gene3805	P08722	b3722
gene3806	P11989	b3723
gene3807	P0A9K7	b3724
gene3808	P0AAH0	b3725
gene3809	P07654	b3726
gene381	P0AAP5	b0375
gene3810	P0AGH8	b3727
gene3811	P0AG82	b3728
gene3812	P17169	b3729
gene3813	P0ACC7	b3730
gene3814	P0A6E6	b3731
gene3815	P0ABB4	b3732
gene3816	P0ABA6	b3733
gene3817	P0ABB0	b3734
gene3818	P0ABA4	b3735
gene3819	P0ABA0	b3736
gene382	P0AD70	b0376
gene3820	P68699	b3737
gene3821	P0AB98	b3738
gene3822	P0ABC0	b3739
gene3823	P0A6U5	b3740
gene3824	P0A6U3	b3741
gene3825	P03817	b3742
gene3826	P0ACI6	b3743
gene3827	P00963	b3744
gene3828	P0ADN0	b3745
gene3829	P31473	b3746
gene383	P0AFY6	b0377
gene3830	P63183	b3747
gene3831	P04982	b3748
gene3832	P04983	b3749
gene3833	P0AGI1	b3750
gene3834	P02925	b3751
gene3835	P0A9J6	b3752
gene3836	P0ACQ0	b3753
gene3837	P31474	b3754
gene3838	P31475	b3755
gene384	P77562	b0378
gene3845	P0A8R9	b4480
gene3846	P0ADN2	b3764
gene3847	P22787	b3765
gene3848	P62522	b3766
gene3849	C1P619	b4669
gene385	P0AAP7	b0379
gene3850	P00892	b4488
gene3851	P0ADG1	b3769
gene3852	P0AB80	b3770
gene3853	P05791	b3771
gene3854	P04968	b3772
gene3855	P05827	b3773
gene3856	P05793	b3774
gene3857	P0A9L5	b3775
gene3858	P56259	b3777
gene3859	P09980	b3778
